               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.036249,            0.012416,           0.0037227,             0.97071,             0.99001,             0.98933,             0.73348,            0.027529,           0.0081805,           0.0030309,           0.0062864,           0.0062864,            0.037086
                  63,            0.036586,            0.011547,           0.0028621,             0.93619,             0.99274,             0.97291,             0.65424,            0.032679,           0.0082587,           0.0029174,           0.0063662,           0.0063662,            0.036066
                  64,             0.03702,            0.011716,           0.0028645,             0.90938,             0.95523,             0.94787,             0.67692,            0.038057,           0.0077468,           0.0028602,            0.006445,            0.006445,            0.035045
                  65,             0.03935,            0.012209,           0.0042844,             0.97412,             0.98957,             0.99254,             0.74516,            0.023755,           0.0074702,           0.0036662,           0.0065229,           0.0065229,            0.034023
                  66,            0.035911,            0.011622,            0.003489,             0.90039,             0.98389,             0.97648,             0.73218,            0.031472,           0.0076688,           0.0024314,           0.0065999,           0.0065999,               0.033
                  67,              0.0371,             0.01207,           0.0037664,             0.99013,             0.99632,             0.99038,             0.76454,            0.028601,           0.0075274,           0.0030821,            0.006676,            0.006676,            0.031976
                  68,            0.038184,            0.011926,           0.0035857,             0.88897,             0.99544,             0.91462,             0.64997,            0.029038,           0.0077591,           0.0030995,           0.0067511,           0.0067511,            0.030951
                  69,            0.035986,            0.011785,            0.004359,             0.92286,             0.98801,             0.98789,             0.73813,            0.026557,           0.0075534,           0.0026023,           0.0068253,           0.0068253,            0.029925
                  70,               0.035,            0.010988,           0.0027142,             0.96292,             0.98995,             0.98644,             0.72538,            0.034831,           0.0075691,           0.0024023,           0.0068984,           0.0068984,            0.028898
                  71,            0.036136,            0.011377,           0.0040856,              0.7365,             0.89779,             0.90148,             0.65438,            0.026396,            0.010604,            0.015561,           0.0069706,           0.0069706,            0.027871
                  72,            0.034606,            0.011613,           0.0028497,             0.91308,              0.9846,             0.98558,             0.72911,            0.027146,           0.0083723,            0.004693,           0.0070418,           0.0070418,            0.026842
                  73,            0.035623,            0.011274,           0.0027328,             0.97768,              0.9331,             0.99154,              0.7588,            0.025015,            0.007634,            0.007265,           0.0071121,           0.0071121,            0.025812
                  74,             0.03486,            0.011498,           0.0029112,             0.93553,             0.99285,             0.97758,             0.63003,            0.031994,           0.0077591,           0.0032375,           0.0071813,           0.0071813,            0.024781
                  75,            0.034659,            0.011378,           0.0025993,             0.98268,             0.99284,             0.99072,             0.73439,            0.034087,           0.0073471,           0.0023541,           0.0072495,           0.0072495,            0.023749
                  76,            0.032786,            0.011021,           0.0033006,             0.98831,             0.99632,             0.99295,             0.74263,            0.025874,           0.0070567,           0.0028946,           0.0073166,           0.0073166,            0.022717
                  77,            0.031444,            0.010823,           0.0026686,             0.99194,             0.99632,             0.99378,             0.77509,            0.021945,           0.0070313,           0.0020623,           0.0073828,           0.0073828,            0.021683
                  78,             0.03302,            0.011271,           0.0026985,             0.99166,             0.99286,             0.99285,             0.75966,            0.024706,           0.0074938,           0.0023272,           0.0074478,           0.0074478,            0.020648
