               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.026008,           0.0044286,           0.0030917,             0.96841,             0.98363,             0.98075,             0.72675,            0.017199,           0.0028257,           0.0046609,           0.0091406,           0.0091406,           0.0091406
                  62,            0.026969,           0.0045657,           0.0028071,             0.97798,             0.97937,             0.98092,             0.75518,             0.01644,           0.0027979,            0.004391,           0.0091127,           0.0091127,           0.0091127
                  63,            0.022636,           0.0042835,           0.0029251,             0.95148,             0.98641,             0.97936,             0.77443,            0.015214,           0.0026547,           0.0049988,           0.0090844,           0.0090844,           0.0090844
                  64,            0.024317,           0.0041575,            0.002545,             0.93138,             0.97796,             0.97891,             0.73854,            0.017813,           0.0028539,           0.0040513,           0.0090557,           0.0090557,           0.0090557
                  65,            0.023335,            0.004302,           0.0025999,             0.91849,             0.94709,             0.97876,             0.75307,            0.016898,           0.0028678,            0.006561,           0.0090266,           0.0090266,           0.0090266
                  66,            0.024438,            0.004217,            0.002408,             0.94311,             0.94085,             0.97503,             0.75395,            0.016506,            0.002811,           0.0051186,           0.0089972,           0.0089972,           0.0089972
                  67,            0.022453,           0.0039612,           0.0021035,             0.98051,             0.98706,             0.98522,             0.77672,            0.016505,           0.0025552,            0.003991,           0.0089673,           0.0089673,           0.0089673
                  68,            0.024106,           0.0042264,           0.0021448,             0.95433,               0.988,             0.97904,             0.75657,            0.016794,           0.0026068,           0.0043204,           0.0089371,           0.0089371,           0.0089371
                  69,            0.025112,           0.0040732,            0.002411,             0.96911,             0.97032,              0.9814,             0.77615,            0.015153,           0.0025941,           0.0046479,           0.0089065,           0.0089065,           0.0089065
                  70,            0.022551,           0.0043074,           0.0025806,             0.95081,             0.97632,             0.97736,             0.77646,            0.016815,           0.0025644,           0.0059022,           0.0088755,           0.0088755,           0.0088755
                  71,            0.024102,           0.0041921,            0.002608,             0.95127,             0.97186,             0.97869,             0.78075,            0.015752,            0.002659,           0.0042277,           0.0088442,           0.0088442,           0.0088442
                  72,            0.022922,            0.004187,           0.0023814,              0.9263,             0.98641,             0.97878,             0.78979,            0.014963,           0.0025567,           0.0048416,           0.0088124,           0.0088124,           0.0088124
                  73,            0.022567,           0.0038243,           0.0021676,             0.96856,             0.98623,             0.98513,             0.78425,            0.014193,           0.0025202,            0.004976,           0.0087804,           0.0087804,           0.0087804
                  74,            0.021746,           0.0039366,           0.0019173,             0.97333,             0.98523,             0.98561,             0.77127,            0.016254,           0.0023973,           0.0051008,           0.0087479,           0.0087479,           0.0087479
                  75,            0.022759,           0.0039908,           0.0021402,             0.97637,             0.98385,             0.98446,             0.79457,            0.014269,           0.0023447,           0.0042062,           0.0087151,           0.0087151,           0.0087151
                  76,            0.022226,           0.0039417,           0.0017798,             0.97683,             0.98943,             0.98316,             0.82068,            0.013207,           0.0023306,           0.0045995,            0.008682,            0.008682,            0.008682
                  77,            0.023275,           0.0039439,           0.0021082,               0.972,             0.99137,             0.97902,             0.77919,            0.014837,           0.0023469,           0.0045929,           0.0086485,           0.0086485,           0.0086485
                  78,            0.021464,            0.003786,           0.0023765,              0.9764,              0.9864,             0.97742,             0.79077,             0.01385,           0.0022903,           0.0049616,           0.0086146,           0.0086146,           0.0086146
                  79,            0.021537,           0.0038516,           0.0021361,             0.96943,             0.99136,             0.97914,             0.79246,            0.014391,           0.0023228,           0.0045335,           0.0085805,           0.0085805,           0.0085805
                  80,            0.021749,           0.0037065,           0.0022214,             0.97973,             0.98461,             0.98038,             0.80189,            0.013361,           0.0023422,           0.0050413,           0.0085459,           0.0085459,           0.0085459
                  81,            0.020566,           0.0037453,           0.0022246,             0.96667,             0.98299,              0.9786,             0.78972,            0.014099,           0.0023466,            0.005702,           0.0085111,           0.0085111,           0.0085111
                  82,            0.021557,            0.003707,           0.0021257,             0.97244,             0.95232,             0.97581,             0.76721,             0.01494,           0.0024416,           0.0057725,           0.0084759,           0.0084759,           0.0084759
                  83,            0.022237,           0.0037718,           0.0019141,             0.95621,             0.98451,             0.97544,             0.77359,            0.013844,           0.0023837,           0.0050941,           0.0084404,           0.0084404,           0.0084404
                  84,            0.021021,           0.0036918,           0.0021145,             0.95993,             0.99143,             0.98174,             0.81285,            0.013678,           0.0022354,           0.0051404,           0.0084046,           0.0084046,           0.0084046
                  85,            0.021329,           0.0036144,           0.0019526,             0.95483,             0.95689,             0.97015,             0.77927,            0.013909,           0.0023115,           0.0070893,           0.0083684,           0.0083684,           0.0083684
                  86,            0.020675,           0.0036086,           0.0019246,              0.9755,             0.98797,             0.98746,             0.81655,            0.014344,           0.0021407,           0.0046013,           0.0083319,           0.0083319,           0.0083319
                  87,            0.021385,            0.003493,           0.0019007,             0.96984,             0.98783,             0.98661,             0.81314,             0.01551,           0.0021728,           0.0043482,           0.0082952,           0.0082952,           0.0082952
                  88,            0.020164,           0.0034917,           0.0020692,             0.97299,             0.97871,             0.97912,             0.80488,            0.013893,           0.0021587,           0.0045459,           0.0082581,           0.0082581,           0.0082581
