               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.023194,           0.0094725,           0.0025674,             0.97415,             0.98758,             0.98293,             0.78173,            0.017518,           0.0063919,           0.0050602,           0.0093245,           0.0093245,           0.0093245
                  55,            0.024562,           0.0094432,           0.0023895,             0.98529,             0.99143,             0.98529,             0.79448,            0.016554,             0.00612,           0.0043852,           0.0092995,           0.0092995,           0.0092995
                  56,            0.022436,           0.0097135,           0.0019874,             0.98694,             0.99139,              0.9894,             0.82381,            0.015112,           0.0058888,           0.0038683,            0.009274,            0.009274,            0.009274
                  57,            0.021251,           0.0093871,           0.0020053,             0.98679,             0.99143,             0.98799,             0.81363,            0.017299,           0.0060421,           0.0043814,           0.0092481,           0.0092481,           0.0092481
                  58,            0.024245,           0.0099697,           0.0019259,             0.98503,             0.99141,             0.98529,             0.81772,            0.015626,           0.0060646,           0.0041962,           0.0092219,           0.0092219,           0.0092219
                  59,            0.022424,           0.0093286,           0.0025554,             0.98286,              0.9914,             0.98531,              0.8202,            0.015666,           0.0060876,           0.0049778,           0.0091952,           0.0091952,           0.0091952
                  60,            0.021485,           0.0094581,           0.0020746,             0.98612,             0.99143,             0.98362,             0.79987,             0.01471,           0.0057536,           0.0039916,           0.0091681,           0.0091681,           0.0091681
                  61,            0.021951,           0.0089929,           0.0019043,             0.98376,             0.98644,             0.98868,             0.80816,            0.015335,           0.0060251,           0.0039589,           0.0091406,           0.0091406,           0.0091406
                  62,            0.021615,           0.0095849,           0.0019572,             0.97661,             0.99142,             0.98206,             0.81072,            0.014633,            0.005906,           0.0038436,           0.0091127,           0.0091127,           0.0091127
                  63,            0.021423,           0.0093091,           0.0017366,             0.97981,             0.99141,             0.98266,             0.82417,            0.014591,           0.0058734,           0.0041193,           0.0090844,           0.0090844,           0.0090844
                  64,             0.02109,           0.0089848,           0.0017454,              0.9866,             0.99143,             0.98429,             0.79878,            0.017989,           0.0062004,           0.0043605,           0.0090557,           0.0090557,           0.0090557
                  65,            0.023583,           0.0096813,           0.0019304,             0.98647,             0.99143,             0.98787,             0.80913,            0.014783,           0.0058731,           0.0043238,           0.0090266,           0.0090266,           0.0090266
                  66,            0.020795,           0.0091365,           0.0018294,             0.98613,             0.99143,             0.98452,             0.80618,            0.016188,           0.0057915,           0.0043185,           0.0089972,           0.0089972,           0.0089972
                  67,            0.021317,           0.0089223,           0.0016895,             0.98596,             0.99143,             0.98874,             0.79785,            0.015372,           0.0059077,           0.0040013,           0.0089673,           0.0089673,           0.0089673
                  68,            0.019609,           0.0090743,           0.0018748,             0.98376,             0.99138,             0.98431,             0.82878,            0.014181,           0.0058853,           0.0042774,           0.0089371,           0.0089371,           0.0089371
                  69,            0.022223,           0.0090093,           0.0019208,             0.97864,              0.9911,             0.98802,             0.81007,            0.017388,           0.0062256,           0.0042551,           0.0089065,           0.0089065,           0.0089065
                  70,            0.020752,           0.0091939,            0.001945,             0.98536,             0.99143,             0.98622,             0.83808,            0.013499,           0.0054815,           0.0038405,           0.0088755,           0.0088755,           0.0088755
                  71,            0.021683,           0.0090642,           0.0018275,             0.98475,             0.99143,             0.98422,              0.8166,            0.015227,           0.0060368,           0.0043376,           0.0088442,           0.0088442,           0.0088442
                  72,            0.020255,           0.0088875,            0.002131,             0.97924,             0.99016,             0.98521,             0.84487,            0.013368,           0.0056766,           0.0048186,           0.0088124,           0.0088124,           0.0088124
                  73,            0.022056,           0.0092519,           0.0019864,              0.9856,             0.99143,             0.98946,             0.84233,            0.012881,           0.0057116,           0.0039709,           0.0087804,           0.0087804,           0.0087804
                  74,            0.020089,           0.0087708,           0.0018594,             0.98566,             0.99143,              0.9876,             0.84183,            0.013444,           0.0056118,           0.0042392,           0.0087479,           0.0087479,           0.0087479
                  75,            0.018927,           0.0087695,           0.0013879,             0.98623,             0.99143,              0.9837,             0.82718,            0.013826,           0.0055351,           0.0041592,           0.0087151,           0.0087151,           0.0087151
                  76,            0.020219,           0.0084402,           0.0016174,             0.98435,             0.98548,             0.98735,             0.83584,            0.014126,           0.0057923,           0.0046904,            0.008682,            0.008682,            0.008682
                  77,            0.021503,            0.009008,            0.001869,             0.98574,             0.99139,              0.9866,             0.82183,            0.013572,            0.005747,           0.0038694,           0.0086485,           0.0086485,           0.0086485
                  78,             0.01843,           0.0087107,           0.0015928,               0.982,             0.98977,             0.98778,             0.82532,             0.01428,           0.0055822,            0.004072,           0.0086146,           0.0086146,           0.0086146
                  79,            0.019514,           0.0084924,           0.0015788,             0.98482,             0.99143,             0.98995,             0.84758,             0.01348,           0.0056771,           0.0038554,           0.0085805,           0.0085805,           0.0085805
                  80,            0.018921,           0.0084291,           0.0015554,             0.98631,             0.99143,             0.99002,             0.83314,            0.013794,           0.0056658,            0.003586,           0.0085459,           0.0085459,           0.0085459
